game_name,review_period,sentiment,word,importance_score
Assassin’s Creed Shadows,2025-11,NEGATIVE,bad,0.046896151120270936
Assassin’s Creed Shadows,2025-11,NEGATIVE,play,0.04528575604343076
Assassin’s Creed Shadows,2025-11,NEGATIVE,ubisoft,0.04134888087849263
Assassin’s Creed Shadows,2025-11,NEGATIVE,story,0.04115142562643356
Assassin’s Creed Shadows,2025-11,NEGATIVE,like,0.03856689302301666
Assassin’s Creed Shadows,2025-11,NEGATIVE,good,0.03585235328761159
Assassin’s Creed Shadows,2025-11,NEGATIVE,fun,0.032798938114411404
Assassin’s Creed Shadows,2025-12,POSITIVE,game,0.10091138036647536
Assassin’s Creed Shadows,2025-12,POSITIVE,good,0.0636451041229067
Assassin’s Creed Shadows,2025-12,POSITIVE,best,0.0455599265687205
Assassin’s Creed Shadows,2025-12,POSITIVE,story,0.04295410974322071
Assassin’s Creed Shadows,2025-12,POSITIVE,great,0.041143674578944266
Assassin’s Creed Shadows,2025-12,POSITIVE,ac,0.04093035018175308
Assassin’s Creed Shadows,2025-12,POSITIVE,creed,0.0381365265314565
Assassin’s Creed Shadows,2025-12,POSITIVE,like,0.03729149526798019
Assassin’s Creed Shadows,2025-12,POSITIVE,love,0.03247591505999961
Assassin’s Creed Shadows,2025-12,POSITIVE,far,0.03228029042965291
Assassin’s Creed Shadows,2025-12,NEGATIVE,game,0.1254285702442821
Assassin’s Creed Shadows,2025-12,NEGATIVE,just,0.060781004032976774
Assassin’s Creed Shadows,2025-12,NEGATIVE,play,0.04314561730399129
Assassin’s Creed Shadows,2025-12,NEGATIVE,creed,0.041738560160232696
Assassin’s Creed Shadows,2025-12,NEGATIVE,ubisoft,0.03897204844393655
Assassin’s Creed Shadows,2025-12,NEGATIVE,like,0.03861071297619559
Assassin’s Creed Shadows,2025-12,NEGATIVE,time,0.037950857092196165
Assassin’s Creed Shadows,2025-12,NEGATIVE,story,0.036991784769040165
Assassin’s Creed Shadows,2025-12,NEGATIVE,tsushima,0.03472990845164112
Assassin’s Creed Shadows,2025-12,NEGATIVE,good,0.03394646386861516
Assassin’s Creed Shadows,2026-01,POSITIVE,game,0.11660340897158684
Assassin’s Creed Shadows,2026-01,POSITIVE,good,0.06346471781300884
Assassin’s Creed Shadows,2026-01,POSITIVE,ac,0.049246080395213554
Assassin’s Creed Shadows,2026-01,POSITIVE,great,0.04670360426439686
Assassin’s Creed Shadows,2026-01,POSITIVE,fun,0.04553239224108392
Assassin’s Creed Shadows,2026-01,POSITIVE,like,0.04096743619565372
Assassin’s Creed Shadows,2026-01,POSITIVE,amazing,0.040230239034237225
Assassin’s Creed Shadows,2026-01,POSITIVE,story,0.0383709495142588
Assassin’s Creed Shadows,2026-01,POSITIVE,awesome,0.031112677050946207
Assassin’s Creed Shadows,2026-01,POSITIVE,love,0.028076819765100455
Assassin’s Creed Shadows,2026-01,NEGATIVE,game,0.12310738873981593
Assassin’s Creed Shadows,2026-01,NEGATIVE,just,0.06118907880088464
Assassin’s Creed Shadows,2026-01,NEGATIVE,boring,0.04762068871455447
Assassin’s Creed Shadows,2026-01,NEGATIVE,play,0.042621788179968784
Assassin’s Creed Shadows,2026-01,NEGATIVE,good,0.03994081393609654
Assassin’s Creed Shadows,2026-01,NEGATIVE,like,0.039868116216084756
Assassin’s Creed Shadows,2026-01,NEGATIVE,creed,0.03171559737525993
Assassin’s Creed Shadows,2026-01,NEGATIVE,terrible,0.03169101405903433
Assassin’s Creed Shadows,2026-01,NEGATIVE,bad,0.031446932512698714
Assassin’s Creed Shadows,2026-01,NEGATIVE,story,0.03116206342318031
Assassin’s Creed Shadows,2026-02,POSITIVE,game,0.1245867418932815
Assassin’s Creed Shadows,2026-02,POSITIVE,good,0.07956322975296307
Assassin’s Creed Shadows,2026-02,POSITIVE,story,0.061370959086761545
Assassin’s Creed Shadows,2026-02,POSITIVE,ac,0.060763520490981535
Assassin’s Creed Shadows,2026-02,POSITIVE,gameplay,0.0589447858252011
Assassin’s Creed Shadows,2026-02,POSITIVE,fun,0.05808231538713439
Assassin’s Creed Shadows,2026-02,POSITIVE,like,0.05434303601411043
Assassin’s Creed Shadows,2026-02,POSITIVE,love,0.05183114416687333
Assassin’s Creed Shadows,2026-02,POSITIVE,great,0.04243988331072365
Assassin’s Creed Shadows,2026-02,POSITIVE,better,0.03331833411449712
Assassin’s Creed Shadows,2026-02,NEGATIVE,game,0.1636284287612811
Assassin’s Creed Shadows,2026-02,NEGATIVE,ubisoft,0.08252358395457908
Assassin’s Creed Shadows,2026-02,NEGATIVE,just,0.07244919029015848
Assassin’s Creed Shadows,2026-02,NEGATIVE,story,0.0724427193698145
Assassin’s Creed Shadows,2026-02,NEGATIVE,combat,0.07138297317967189
Assassin’s Creed Shadows,2026-02,NEGATIVE,like,0.053042375266715666
Assassin’s Creed Shadows,2026-02,NEGATIVE,play,0.051500808569984985
Assassin’s Creed Shadows,2026-02,NEGATIVE,boring,0.050879382257541766
Assassin’s Creed Shadows,2026-02,NEGATIVE,good,0.0454661025754425
Assassin’s Creed Shadows,2026-02,NEGATIVE,feels,0.04420773787855915
Assassin’s Creed Shadows,2026-03,POSITIVE,game,0.1432624355861789
Assassin’s Creed Shadows,2026-03,POSITIVE,good,0.11843827862099807
Assassin’s Creed Shadows,2026-03,POSITIVE,fun,0.10025078184353008
Assassin’s Creed Shadows,2026-03,POSITIVE,like,0.0746310145210887
Assassin’s Creed Shadows,2026-03,POSITIVE,best,0.04865753989202642
Assassin’s Creed Shadows,2026-03,POSITIVE,great,0.047625151974429306
Assassin’s Creed Shadows,2026-03,POSITIVE,pretty,0.04706531178079372
Assassin’s Creed Shadows,2026-03,POSITIVE,love,0.046819808469037646
Assassin’s Creed Shadows,2026-03,POSITIVE,story,0.040964839981514393
Assassin’s Creed Shadows,2026-03,POSITIVE,10,0.040284929291967336
Assassin’s Creed Shadows,2026-03,NEGATIVE,game,0.18050451960402036
Assassin’s Creed Shadows,2026-03,NEGATIVE,boring,0.07869812234728316
Assassin’s Creed Shadows,2026-03,NEGATIVE,just,0.07759505469418645
Assassin’s Creed Shadows,2026-03,NEGATIVE,ubisoft,0.07291740843580505
Assassin’s Creed Shadows,2026-03,NEGATIVE,play,0.05658591472660574
Assassin’s Creed Shadows,2026-03,NEGATIVE,like,0.05120047607533134
Assassin’s Creed Shadows,2026-03,NEGATIVE,steam,0.047759262741893474
Assassin’s Creed Shadows,2026-03,NEGATIVE,time,0.04209542220867673
Assassin’s Creed Shadows,2026-03,NEGATIVE,played,0.04191205529090962
Assassin’s Creed Shadows,2026-03,NEGATIVE,ac,0.041604377359342776
